Spanish,English
de,from
la,the
que,that
el,the
y,and
en,on
a,to
los,the
del,of the
se,I know
las,the
por,by
un,a
con,with
para,for
no,no
una,a
es,it is
su,its
al,to the
lo,it
como,What
más,plus
o,or
este,this
pero,but
sus,their
esta,is
si,Yes
ha,he has
me,I
ya,already
le,you
son,are
sobre,upon
entre,Come in
ser,be
fue,it was
sin,without
todo,everything
también,too
desde,from
cuando,when
muy,very
años,years
está,is
todos,everybody
hay,there are
tiene,have
nos,us
porque,because
dos,two
hasta,until
donde,where
parte,part
así,So
han,they have
puede,may
mi,me
año,year
cada,each
uno,one
vez,time
bien,well
hace,does
trabajo,job
nacional,national
estado,state
otros,others
gobierno,government
eso,that
tiempo,weather
además,what's more
mismo,same
ese,that
hacer,do
país,country
yo,me
durante,during
te,tea
día,day
tanto,so much
vida,life
esto,this
forma,shape
estos,these
sólo,single
personas,persons
ni,neither
otro,other
ahora,now
hoy,today
era,was
caso,case
están,is it so
les,them
mejor,better
lugar,place
qué,that
quien,who
cual,which
esa,this
ciudad,town
general,general
mundo,world
siempre,forever
menos,less
desarrollo,developing
contra,against
cuenta,bill
tres,three
ver,watch
más,plus
mayor,higher
otra,other
mucho,much
dijo,said
tienen,have
sido,been
presidente,President
ante,in view of
según,according
tener,to have
primera,first
sea,be
debe,has to
después,after
aunque,although
ley,law
sistema,system
manera,way
solo,only
poder,can
nuevo,new
ellos,them
todas,all
social,Social
información,information
momento,moment
sino,otherwise
nuestro,our
otras,Others
antes,before
luego,later
estas,are
tu,your
algo,something
había,there was
días,days
nuestra,our
primer,first
nada,any
hecho,done
poco,little
pueden,may
proyecto,draft
será,will be
va,he
grupo,group
fueron,They were
través,through
algunos,Some
tan,so
tipo,kind
medio,half
gente,people
decir,tell
equipo,team
nueva,new
importante,important
san,saint
toda,all
mientras,While
pues,then
centro,center
acuerdo,agreement
programa,Program
salud,Health
pasado,last
empresa,company
muchos,Many
fin,end
dentro,within
nivel,level
partido,match
servicios,services
casa,home
educación,education
servicio,service
seguridad,security
proceso,process
horas,hours
él,he
política,politics
tal,such
artículo,Article
universidad,University
historia,history
cosas,stuff
cualquier,any
sí,Yes
unos,some
hacia,toward
misma,one.
estar,to be
ello,it
tema,theme
cómo,excuse me
empresas,Business
gracias,Thank you
calidad,quality
quienes,Who
embargo,embargo
público,public
frente,front
agua,Water
situación,situation
ella,she
sociedad,society
creo,I think
nosotros,us
final,final
muchas,many
méxico,Mexico
derecho,right
zona,zone
argentina,Argentina
bajo,low
estamos,we're
respecto,respect
entonces,then
sector,sector
ejemplo,example
estaba,was
tras,after
semana,week
personal,personal
casi,almost
tenemos,have
recursos,means
diferentes,different
dice,He says
veces,times
punto,point
estados,state
uso,use
actividades,activities
partir,leaving
haber,to have
dar,give
relación,relationship
internacional,international
número,number
meses,months
niños,kids
parece,It seems
aún,still
derechos,Rights
datos,data
aquí,here
grandes,big
nunca,never
problemas,problems
mercado,market
países,Countries
cambio,change
nombre,Name
he,He.
persona,person
nuestros,our
segundo,second
hizo,did
sentido,sense
cuatro,four
fecha,date
da,gives
posible,possible
comunidad,community
mujeres,women
lado,side
obra,construction site
familia,family
junto,together
director,director
problema,trouble
condiciones,terms
total,total
actividad,exercise
falta,lack
buena,good
tengo,I have
investigación,investigation
algunas,some
bueno,well
españa,Spain
productos,products
producción,production
último,latest
presente,Present
casos,Cases
comisión,commission
pública,Public
fuera,out of
igual,equal
atención,attention
van,go
realidad,reality
objetivo,objective
estudio,study
mediante,through
control,control
verdad,truth
provincia,Province
puntos,points
pueblo,village
buenos,good ones
sociales,social
hemos,we have
experiencia,experience
apoyo,support
hombre,man
varios,several
medios,media
resultados,results
obras,plays
local,local
chile,chili
dirección,address
realizar,perform
deben,they should
base,base
mes,month
cuanto,how much
gestión,management
trata,about
buen,good
municipal,municipal
siendo,being
julio,July
alguna,some
unidos,United
trabajadores,Workers
ayer,Yesterday
proyectos,Projects
incluso,even
cultura,culture
esos,those
mañana,morning
llegar,to get
dicho,saying
región,region
segunda,second
población,population
plan,plan
paso,He passed
mundial,world
conocer,know
participación,participation
estoy,am
jóvenes,youths
mujer,woman
cargo,post
primero,first
administración,administration
nuevos,new
hora,hour
cuales,which
ciento,hundred
comunicación,communication
especial,special
claro,Sure
pesos,pesos
espacio,space
estudios,studies
dios,God
nuevas,New ones
juego,play
mal,wrong
encuentra,find
cinco,five
mis,MIS
capital,capital
valor,value
seguir,continue
autoridades,authorities
podría,could
justicia,Justice
escuela,school
tuvo,had
mayoría,most
área,area
saber,to know
luis,Lewis
organización,organization
cuerpo,body
ministerio,ministry
acción,action
diciembre,December
largo,long
nadie,nobody
formación,training
encuentro,meeting
ir,to go
consejo,tip
actual,current
construcción,construction
vamos,we go
necesario,necessary
capacidad,capacity
acciones,Actions
noche,evening
hacen,make
ex,former
cabo,cape
estudiantes,students
idea,idea
minutos,minutes
debido,due
mayo,May
orden,order
campo,countryside
octubre,October
haya,is
presencia,presence
tarde,late
modo,mode
permite,It allows
podemos,we can
red,net
temas,topics
edad,age
tenía,I had
últimos,last.
federal,federal
anterior,previous
respuesta,answer
internet,Internet
ahí,there
puesto,Market Stall
cantidad,amount
usted,you
real,real
serie,Serie
existe,exists
próximo,next
dinero,money
dio,it gave
principal,principal
sería,would
materia,matter
libro,book
acceso,access
marco,frame
maría,Maria
alto,high
noviembre,November
calle,Street
siguiente,following
central,central
alumnos,students
web,Web
algún,some
posibilidad,possibility
modelo,model
grupos,Groups
medida,measure
soy,I am
quiere,wants
cierto,certain
futuro,future
análisis,analysis
mano,hand
humanos,humans
instituto,Institute
superior,higher
propio,own
señor,Mister
santa,Santa
favor,favor
municipio,municipality
cerca,close
tierra,Earth
políticas,Policies
programas,programs
ambiente,environment
oportunidad,chance
domingo,Sunday
economía,economy
crisis,crisis
marzo,March
mejores,top
interés,interest
etc.,etc.
conocimiento,knowledge
sigue,follow
necesidad,need
haciendo,doing
cosa,thing
unas,nails
serán,will be